date,day_type,people,acs,ebikes,sound_on,generators,delivered_gal
2026-08-25,Off,3,0,0,0,1,25
2026-08-26,Build,3,4,2,1,1,88
2026-08-27,Build,8,6,4,1,1,0
2026-08-28,Build,14,7,5,1,1,0
2026-08-29,Build,25,8,7,1,2,0
2026-08-30,Burn,40,9,8,1,2,0
2026-08-31,Burn,40,10,10,1,2,88
2026-09-01,Burn,40,10,10,1,2,0
2026-09-02,Burn,40,10,10,1,2,0
2026-09-03,Burn,40,10,10,1,2,0
2026-09-04,Burn,40,10,10,1,2,88
2026-09-05,Burn,40,10,10,1,2,0
2026-09-06,Burn,40,10,10,1,2,0
2026-09-07,Strike,20,5,5,1,1,0
