version,date,change
0.1,2026-07-29,Start here tab built.
0.2,2026-07-29,Official Lists redesigned: three separate explained lists.
0.3,2026-07-29,Loads tab built from last year's list. ACs set to 10 Midea inverter units. E-bikes modeled as one 15 A circuit.
0.4,2026-07-29,Loads re-sorted by bus then priority. Priority column and list added. Spare rows added; stray dropdown removed.
0.5,2026-07-29,"Schedule tab built: 24-hour duty grid from 5am, seeded from last year; hourly load rows with red-line checks."
0.6,2026-07-29,Schedule: uniform wider grid cells; Total W moved right of the grid with an explanatory note.
0.7,2026-07-29,Loads spare-row divider formalized; schedule counter ignores rows without a Bus; missing-Bus guard added.
0.8,2026-07-29,CPAP and Monitoring removed from camp loads. Schedule banners split at the freeze line.
0.9,2026-07-29,Dashboard built. Event Calendar added to Home. Area helper column added to Schedule.
1.0,2026-07-29,View selector and Party toggles added. Heavy-day name editable. Day language removed from Alice.
1.1,2026-07-29,View selector fixed for Google Sheets: date options made non-parseable; resolver accepts raw dates.
3.1,2026-07-30,"Built on the user-modified copy. No-model days plot zeros with the safe-load line, coverage phrase removed, burn delta removed."
3.2,2026-07-30,"Setup rebuilt: thresholds and policy table, lists compacted, reference merged, log moved to the bottom."
3.3,2026-07-30,Meter Log added with baseline and to-date tracking. Actual kWh and gal columns on the timeline; burn card quotes actuals.
3.4,2026-07-30,Burn-card error on simulated view fixed. Measured fuel now reads the newest Meter Log dipstick; separate input removed. Variance columns retired. Version history restored where the archive allowed.
3.5,2026-07-30,Radical simplification: Dashboard reduced to one plan-vs-reality table plus the chart. Calendar and fuel plan moved to their own tab. Clock highlight retired.
3.6,2026-07-30,Meter Log merged into the Calendar: one row per day holds plan and readings side by side. Cumulative-range bug from the tab split repaired. Event-to-date rows added to the Dashboard.
3.7,2026-07-30,"Calendar restacked: reality table above the plan with matching columns. Bob blue, Alice pink everywhere. Daily plan-vs-reality chart added to the Dashboard. Actual-delivered override column."
3.8,2026-07-30,"Structural hardening: full reference audit across 851 formulas found zero stale references. Protection restored on Loads, Schedule, and Calc."
3.9,2026-07-30,Input cells get a pale blue field. Simulated dates fixed and locked. Fuel-on-hand row labeled honestly with an event-low tag. Event-to-date rows follow the selector.
4.0,2026-07-30,"Foolproof Calendar: inputs lead every row, computed results follow. Archive columns removed. Start row replaces the install-meters strip. Input headers styled as inputs."
4.1,2026-07-30,"Reality and plan tables now mirror perfectly on the right: kWh used, Gal used, Delivered, On hand, Level in identical columns."
4.2,2026-07-30,Drums and cans split into two entry cells; the sheet adds them. Day 0 row renamed with an inline hint. Output mirror unchanged.
4.3,2026-07-30,"Built on the user-formatted copy. Missing output formulas restored, reality outputs matched to plan styling, conditional formatting rebuilt, protections restored."
4.4,2026-07-30,Energy math made lenient: one meter reading is enough to compute; a blank Day 0 counts as zero. Previously both meters and both baselines were required.
4.5,2026-07-30,Cans carry forward: written on Day 0 and again only when the count changes. Drums column renamed Fuel left in drums. Reality fuel accounting anchors on Day 0 stock.
4.7,2026-07-30,Cans removed from the model entirely: backup fuel stays off the books. Plan shows its true Tuesday and Thursday gaps; those are the reserve days.
4.8,2026-07-30,"Day 0 row removed; meters assumed to start at zero, exceptions handled in Notes."
4.9,2026-07-30,Seam row removed; tables sit flush under their headers. Safe-load line rebuilt and named in the chart title as a fallback.
5.0,2026-07-30,"Dashboard redesigned: headline verdict capsule, scoreboard table with units in labels, plan-light and reality-dark ink, zebra rows, quiet chrome."
5.1,2026-07-30,"Headline is now a fuel gauge: color-banded bar, gallons at its end, GOOD LOW OUT chip, next refill date. Verdict words retired."
5.2,2026-07-30,"Headline gauge split into a same-day pair: PLAN bar in light slate, REAL bar color-banded, gallons on each, one chip keyed to reality when present."
5.3,2026-07-30,"Fuel gauges moved directly above the table, each aligned over its column. Reality now the left column, simulated the right. Refill date to the top right."
5.4,2026-07-30,"Two chips, one per gauge, each directly above its own column: reality saturated, simulated muted. Spacer added so the dropdown clears the bars."
5.5,2026-07-30,View selector moved to its own right rail at column N. One dash token for all empty states. Machine chips muted and capitalized. Fuel on hand row and Viewing caption removed. Sim gauge announces empty in red.
5.6,2026-07-30,"Event charts split into a reality and simulated pair, stacked by bus in Bob blue and Alice pink, with a max safe kWh per day line on both. Per-bus daily series added to the engine."
5.7,2026-07-30,Reality chart series baseline changed from blank to zero so the Google importer can no longer drop them and restyle the safe load line as data.
5.8,2026-07-30,Event charts switched from stacked to side by side bars: each bus reads against the per generator ceiling honestly. Scale tightened to 160.
5.9,2026-07-30,Event pair moved above the hourly chart. Hourly caption states plainly that it is a planning view with no hourly metering.
5.93,2026-07-30,"Built on the user's cosmetic pass, everything preserved. Date labels restored on both event charts after the export dropped their categories. Protections and MAXIFS repaired."
5.94,2026-07-30,"Event charts rebuilt clean at the user's anchors and size: ordinal day labels on the x axis, safe load line re pinned to the full scale."
